UserId,num_communities,community_ids,local_pluralistic_hom
1,0,,0.0
2,2,3;4,0.7
3,0,,0.0
4,3,0;1;2,0.6
5,2,0;3,0.45
6,2,0;3,0.4
7,2,2;3,0.4541666666666666
8,3,0;1;3,0.7000000000000001
9,2,0;2,0.4
10,0,,0.0
11,1,1,0.225
12,0,,0.0
13,2,0;1,0.5
14,0,,0.0
15,5,0;1;2;3;4,0.5716666666666661
16,0,,0.0
17,3,0;1;3,0.6611111111111111
18,0,,0.0
19,5,0;1;2;3;4,0.6488888888888888
20,2,0;1,0.475
21,4,1;2;3;4,0.6642857142857143
22,3,0;1;3,0.54
23,4,0;1;2;3,0.6921875
24,0,,0.0
25,0,,0.0
26,2,0;1,0.4666666666666666
27,0,,0.0
28,2,0;2,0.4
29,0,,0.0
30,5,0;1;2;3;4,0.6545454545454543
31,1,1,0.25
32,0,,0.0
33,3,0;2;3,0.7416666666666667
34,2,0;2,0.4
35,0,,0.0
36,3,2;3;4,0.5875
37,2,0;1,0.4
38,2,0;1,0.5555555555555555
39,1,3,0.5
40,0,,0.0
41,4,0;1;2;3,0.9
42,1,1,0.25
43,3,1;2;3,0.6375
44,0,,0.0
45,0,,0.0
46,0,,0.0
47,1,3,0.5
48,4,0;1;2;3,0.7020000000000001
49,2,2;3,0.4
50,0,,0.0
51,2,0;1,0.4
52,2,0;1,0.5
53,1,1,0.2
54,0,,0.0
55,0,,0.0
56,4,0;1;2;3,0.93
57,4,0;1;2;3,0.7227272727272727
58,3,0;1;2,0.6
59,2,0;2,0.45
60,0,,0.0
61,3,0;1;3,0.75
62,2,0;1,0.5
63,3,0;2;3,0.65
64,0,,0.0
65,0,,0.0
66,0,,0.0
67,2,3;4,0.6333333333333333
68,3,0;1;3,0.75
69,0,,0.0
70,4,0;1;3;4,0.214
71,0,,0.0
72,2,0;1,0.5555555555555555
73,4,0;1;2;3,0.5176691729323308
74,0,,0.0
75,3,0;2;3,0.65
76,0,,0.0
77,3,0;1;3,0.72
78,2,0;1,0.5
79,1,3,0.225
80,0,,0.3333333333333333
81,3,0;1;2,0.8194444444444443
82,0,,0.0
83,3,0;2;3,0.675
84,1,1,0.2333333333333333
85,2,3;4,0.47333333333333333
86,3,2;3;4,0.5559523809523809
87,0,,0.0
88,2,0;1,0.4666666666666666
89,0,,0.0
90,3,1;2;3,0.4833333333333333
91,3,0;1;3,0.8125
92,3,2;3;4,0.39166666666666666
93,1,0,0.25
94,2,0;1,0.5
95,3,1;2;3,0.6599999999999999
96,2,0;1,0.5
97,3,0;1;2,0.8333333333333334
98,3,0;1;2,0.8333333333333334
99,3,0;1;2,0.6214285714285713
100,0,,0.0
101,2,0;1,0.5
102,5,0;1;2;3;4,0.6888888888888891
103,2,2;3,0.45
104,1,1,0.225
105,4,0;1;2;3,0.735
106,0,,0.0
107,0,,0.0
108,0,,0.0
109,0,,0.0
110,3,0;3;4,0.43095238095238086
111,4,0;1;2;3,0.8800000000000001
112,0,,0.0
113,0,,0.5
114,0,,0.0
115,2,2;3,0.45
116,0,,0.0
117,2,0;1,0.5
118,4,0;1;2;3,0.8333333333333334
119,5,0;1;2;3;4,0.6851063829787236
120,3,1;2;3,0.7000000000000001
121,3,2;3;4,0.6699999999999999
122,0,,0.0
123,0,,0.0
124,0,,0.0
125,2,0;1,0.5
126,2,2;3,0.35555555555555557
127,0,,0.0
128,4,0;1;2;3,0.9055555555555556
129,0,,0.0
130,4,0;1;2;3,0.96
131,0,,0.0
132,2,0;1,0.5
133,2,0;1,0.5133333333333333
134,3,0;1;2,0.625
135,0,,0.5
136,0,,0.0
137,2,1;2,0.4
138,1,1,0.625
139,2,0;2,0.45
140,0,,0.0
141,2,0;2,0.4
142,0,,0.0
143,3,0;1;2,0.7000000000000001
144,0,,0.0
145,0,,0.0
146,0,,0.0
147,0,,0.0
148,2,0;3,0.43333333333333335
149,1,1,0.32142857142857145
150,4,0;1;2;3,0.9428571428571428
151,1,4,0.39999999999999997
152,2,0;1,0.5
153,2,0;3,0.4
154,0,,0.0
155,1,2,0.225
156,2,0;1,0.5
157,3,0;1;2,0.75
158,0,,0.0
159,3,0;1;2,0.7125
160,2,0;2,0.45
